wbs_code,depth,name,spec,unit,qty,exec_rate,exec_cost,layer,prod_rate,est_days,wbs_path
1.1.1.1.11.17,6,TLS 고정단부(직선부),고정단부,EA,52.0,63000.0,3276000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > TLS 고정단부(직선부)
1.1.1.1.11.18,6,TLS 회전단부(우각부),회전조인트(TRA),EA,302.0,75000.0,22650000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > TLS 회전단부(우각부)
1.1.1.1.11.19,6,TLS 고정앵글,L=500MM,SET,468.0,12000.0,5616000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > TLS 고정앵글
1.1.1.1.11.20,6,공장조립지원/기타철물,,TON,25.729,600000.0,15437400.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 공장조립지원/기타철물
1.1.1.1.11.21,6,와이어메쉬,"#6, 100x100",M2,4744.0,3500.0,16604000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 와이어메쉬
1.1.1.1.12,5,1-1-13. 잔여구조물 철거공사,,,0.0,0.0,67145650.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사
1.1.1.1.12.1,6,천공 및 H-PILE 항타,무진동토네이도,M,244.0,45000.0,10980000.0,,80,2,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 천공 및 H-PILE 항타
1.1.1.1.12.2,6,굴착토처리,,M3,32.0,24000.0,768000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 굴착토처리
1.1.1.1.12.3,6,H-PILE 인발,,M,244.0,18000.0,4392000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > H-PILE 인발
1.1.1.1.12.4,6,띠장연결,,EA,6.0,60000.0,360000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 띠장연결
1.1.1.1.12.5,6,띠장설치및해체,H-300*300,M,70.0,38000.0,2660000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 띠장설치및해체
1.1.1.1.12.6,6,띠장홈메우기,,EA,48.0,40000.0,1920000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 띠장홈메우기
1.1.1.1.12.7,6,보걸이 설치 및 해체,,EA,48.0,32000.0,1536000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 보걸이 설치 및 해체
1.1.1.1.12.8,6,토류판 설치 및 해체,,M2,231.0,30000.0,6930000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 토류판 설치 및 해체
1.1.1.1.12.9,6,강재손료,H-300*300,TON,33.0,450000.0,14850000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 강재손료
